,movie,time_minute,year,vote,grade,directors
0,Joker,122,2019,808270,2.6831193786337577,168
1,Parasite,132,2019,426750,8.495494529455009,527
2,Knives Out,130,2019,319809,6.045873592790375,493
3,Once Upon a Time... in Hollywood,161,2019,478002,6.211508287042689,534
4,The Gentlemen,113,2019,146955,1.7427371574623636,299
5,1917,119,2019,326813,5.39846503184007,466
6,Avengers: Endgame,181,2019,727950,5.39846503184007,75
7,The Help,146,2011,413849,3.069142795635289,360
8,The Lord of the Rings: The Fellowship of the Ring,178,2001,1603324,7.767567991334224,263
9,Jojo Rabbit,108,2019,225744,2.558335923994344,433
10,The Shawshank Redemption,142,1994,2250445,5.719115045179629,47
11,Back to the Future,116,1985,1009040,6.88877347573572,287
12,Inception,148,2010,1973260,4.775972476888869,404
13,The Godfather,175,1972,1552927,9.244838284145375,124
14,Interstellar,169,2014,1423955,4.775972476888869,195
15,Harry Potter and the Sorcerer's Stone,152,2001,615921,3.335935266158503,102
16,Little Women,135,2019,109304,7.5890076294598625,51
17,The Wolf of Wall Street,180,2013,1121777,4.929205047469622,359
18,The Dark Knight,152,2008,2218163,6.3786285438172365,545
19,Thor: Ragnarok,130,2017,554576,4.775972476888869,255
20,The Silence of the Lambs,118,1991,1218594,6.547221273181471,323
21,Pulp Fiction,154,1994,1761864,8.128814864419045,325
22,Django Unchained,165,2012,1302022,5.881737906435478,88
23,The Lighthouse,109,2019,107984,6.211508287042689,302
24,Titanic,194,1997,1014789,4.929205047469622,454
25,The Matrix,136,1999,1614258,4.624361491060144,351
26,Mad Max: Fury Road,120,2015,844695,7.411836877589791,211
27,Inglourious Basterds,153,2009,1214818,4.034492979297399,121
28,Do the Right Thing,120,1989,82777,7.767567991334224,31
29,Ford v Ferrari,152,2019,222799,5.881737906435478,450
30,The Irishman,209,2019,294013,8.128814864419045,238
31,Se7en,127,1995,1385281,3.472085598023182,50
32,V for Vendetta,132,2005,999697,3.069142795635289,132
33,Indiana Jones and the Last Crusade,127,1989,670271,3.472085598023182,319
34,Avengers: Infinity War,149,2018,780115,3.891265051368257,207
35,Blade Runner 2049,164,2017,432623,5.881737906435478,434
36,No Country for Old Men,122,2007,819747,7.5890076294598625,493
37,Shutter Island,138,2010,1082303,3.2016125936783792,506
38,Jurassic Park,127,1993,833406,3.891265051368257,271
39,The Departed,151,2006,1146894,6.547221273181471,493
40,The Dark Knight Rises,164,2012,1466331,5.39846503184007,392
41,Forrest Gump,142,1994,1735031,6.045873592790375,401
42,Gone Girl,149,2014,822153,5.558019215511944,506
43,The Social Network,120,2010,602011,8.311480638249723,366
44,Fight Club,139,1999,1789160,3.610039376516549,474
45,The Goonies,114,1985,233595,3.069142795635289,446
46,Alien,117,1979,759651,7.236066721638213,83
47,The Prestige,130,2006,1140083,3.610039376516549,96
48,The Lord of the Rings: The Return of the King,201,2003,1589297,8.128814864419045,538
49,Guardians of the Galaxy,121,2014,1014963,5.0840422205170555,498
50,Call Me by Your Name,132,2017,193288,7.947507231830623,138
51,Mission: Impossible - Fallout,147,2018,274343,6.717273725254912,34
52,Green Book,130,2018,327524,4.034492979297399,316
53,Avatar,162,2009,1094198,6.211508287042689,86
54,Harry Potter and the Deathly Hallows: Part 2,130,2011,735217,6.547221273181471,454
55,The Green Mile,189,1999,1097318,2.9385521605035354,19
56,Saving Private Ryan,169,1998,1190141,7.5890076294598625,56
57,Jaws,124,1975,530205,6.88877347573572,466
58,Pirates of the Caribbean: The Curse of the Black Pearl,143,2003,995612,3.2016125936783792,385
59,Goodfellas,146,1990,979080,7.411836877589791,324
60,Schindler's List,195,1993,1169403,8.128814864419045,81
61,Gladiator,155,2000,1293620,3.749773326482549,61
62,Dunkirk,106,2017,520446,8.128814864419045,454
63,Léon: The Professional,110,1994,996068,3.335935266158503,125
64,The Princess Bride,98,1987,380674,5.240467536394058,485
65,The Shining,146,1980,856706,3.610039376516549,474
66,Get Out,104,2017,462747,6.547221273181471,299
67,Captain America: Civil War,147,2016,636373,4.929205047469622,218
68,Bohemian Rhapsody,134,2018,426012,1.5294984798946354,483
69,Apocalypto,139,2006,283235,3.891265051368257,528
70,Raiders of the Lost Ark,115,1981,856997,6.547221273181471,43
71,Wind River,107,2017,191703,4.624361491060144,477
72,Portrait of a Lady on Fire,122,2019,40840,8.311480638249723,424
73,Prisoners,153,2013,572458,4.17943631366719,326
74,Some Like It Hot,121,1959,235428,8.867527654312672,59
75,Spider-Man: Into the Spider-Verse,117,2018,321952,6.88877347573572,461
76,The Breakfast Club,97,1985,342324,3.610039376516549,26
77,"The Good, the Bad and the Ugly",178,1966,664640,7.411836877589791,148
78,Taxi Driver,114,1976,693822,8.128814864419045,406
79,Harry Potter and the Goblet of Fire,157,2005,524135,5.881737906435478,187
80,Whiplash,106,2014,679822,7.061708412275319,539
81,Apocalypse Now,147,1979,583874,8.128814864419045,0
82,Spirited Away,125,2001,614852,8.495494529455009,424
83,The Lord of the Rings: The Two Towers,179,2002,1435890,6.88877347573572,442
84,Batman Begins,140,2005,1265399,4.17943631366719,245
85,Up,96,2009,902226,7.061708412275319,63
86,Requiem for a Dream,102,2000,741204,3.891265051368257,75
87,A Clockwork Orange,136,1971,732813,5.719115045179629,201
88,The Usual Suspects,106,1995,958925,5.240467536394058,433
89,Deadpool 2,119,2018,453152,3.610039376516549,207
90,American History X,119,1998,1004838,3.069142795635289,219
91,The Godfather: Part II,202,1974,1085348,7.411836877589791,224
92,Star Wars: Episode IV - A New Hope,121,1977,1194033,7.411836877589791,487
93,The Hobbit: An Unexpected Journey,169,2012,742075,2.558335923994344,49
94,Tombstone,130,1993,121560,1.6349586844932809,296
